icon-indexmanager, table-list
icon-brush, paintbrush
icon-analytics-piechart, chart-pie
icon-chevron-left, chevron-left
icon-chevron-right, chevron-right
icon-chevron-up, chevron-up
icon-chevron-down, chevron-down
icon-check, square-check
icon-database, database
icon-download, download
icon-edit, pen-to-square
icon-gpsoff-gps, crosshairs
icon-info-sign, circle-info
icon-layers, layer-group
icon-line, slash
icon-link, link
icon-map, map
icon-pencil, pencil
icon-pin, thumbtack
icon-plus, plus
icon-polygonlasso, draw-polygon
icon-print, print
icon-question-sign, circle-question
icon-refresh, rotate
icon-remove, xmark
icon-remove-circle, ban
icon-save-floppy, floppy-disk
icon-search, magnifying-glass
icon-settingsandroid, sliders
icon-settingsthree-gears, gears
icon-share-alt, share-nodes
icon-trash, trash
icon-upload, upload
icon-warning-sign, triangle-exclamation
icon-dotlist, list-ul
icon-design, pen-ruler
icon-design, ruler
icon-calcplus, square-plus
icon-calcminus, square-minus
icon-fatredo, rotate-right
icon-circleloaderfull, circle
icon-cloudaltsync, cloud
icon-textfield, font
icon-time, clock
icon-calendarthree, calendar
icon-menu, bars
icon-navigation, location-arrow
icon-gpson, location-crosshairs
icon-globealt, mountain-sun
icon-minus, minus
icon-equals, equals
icon-globe, earth-europe
icon-sextant, suitcase-rolling
icon-cursor, arrow-pointer
icon-arrow-up, arrow-up
icon-arrow-down, arrow-down
icon-moon-night, moon
icon-sun-day, sun
icon-timeline, timeline
icon-uploadalt, cloud-arrow-up
icon-opennewwindow, arrow-up-right-from-square
icon-move, up-down-left-right
icon-filter, filter
icon-layerorder, 
icon-resizehorizontalalt, left-right
icon-copy, copy
icon-lock, lock
icon-th-large, map-location
